,avg_price_dif,features
2418,31.3882,['floors' 'view' 'condition' 'sqft_above' 'sqft_basement' 'yr_built']
876,31.391,['bedrooms' 'sqft_living' 'floors' 'condition' 'yr_built']
734,31.3923,['bedrooms' 'bathrooms' 'sqft_living' 'waterfront' 'yr_built']
2373,31.3936,['sqft_lot' 'floors' 'view' 'sqft_above' 'sqft_basement' 'yr_built']
1803,31.3947,['bedrooms' 'sqft_living' 'floors' 'condition' 'yr_built' 'yr_renovated']
1737,31.401,['bedrooms' 'sqft_living' 'sqft_lot' 'floors' 'yr_built' 'yr_renovated']
2314,31.4011,['sqft_living' 'floors' 'view' 'condition' 'sqft_basement' 'yr_built']
2312,31.4024,['sqft_living' 'floors' 'view' 'condition' 'sqft_above' 'yr_built']
2243,31.4071,['sqft_living' 'sqft_lot' 'floors' 'view' 'sqft_basement' 'yr_built']
2241,31.4079,['sqft_living' 'sqft_lot' 'floors' 'view' 'sqft_above' 'yr_built']
840,31.4082,['bedrooms' 'sqft_living' 'sqft_lot' 'floors' 'yr_built']
1335,31.4128,['sqft_living' 'floors' 'view' 'yr_built' 'yr_renovated']
542,31.4149,['sqft_living' 'floors' 'view' 'yr_built']
1643,31.4197,['bedrooms' 'bathrooms' 'sqft_lot' 'sqft_above' 'sqft_basement' 'yr_built']
2317,31.4231,['sqft_living' 'floors' 'view' 'sqft_above' 'sqft_basement' 'yr_built']
1947,31.4237,"['bedrooms' 'floors' 'sqft_above' 'sqft_basement' 'yr_built'
 'yr_renovated']"
2422,31.4257,['floors' 'view' 'sqft_above' 'sqft_basement' 'yr_built' 'yr_renovated']
1477,31.4258,['floors' 'view' 'sqft_above' 'sqft_basement' 'yr_built']
1804,31.4277,['bedrooms' 'sqft_living' 'floors' 'sqft_above' 'sqft_basement' 'yr_built']
1006,31.4281,['bedrooms' 'floors' 'sqft_above' 'sqft_basement' 'yr_built']
1904,31.4304,['bedrooms' 'sqft_lot' 'view' 'sqft_above' 'sqft_basement' 'yr_built']
1530,31.4362,['bedrooms' 'bathrooms' 'sqft_living' 'sqft_lot' 'sqft_above' 'yr_built']
1807,31.4366,"['bedrooms' 'sqft_living' 'floors' 'sqft_basement' 'yr_built'
 'yr_renovated']"
1532,31.4385,"['bedrooms' 'bathrooms' 'sqft_living' 'sqft_lot' 'sqft_basement'
 'yr_built']"
1333,31.4387,['sqft_living' 'floors' 'view' 'sqft_basement' 'yr_built']
2320,31.4388,['sqft_living' 'floors' 'view' 'sqft_basement' 'yr_built' 'yr_renovated']
1806,31.4398,['bedrooms' 'sqft_living' 'floors' 'sqft_above' 'yr_built' 'yr_renovated']
2319,31.4401,['sqft_living' 'floors' 'view' 'sqft_above' 'yr_built' 'yr_renovated']
1331,31.4402,['sqft_living' 'floors' 'view' 'sqft_above' 'yr_built']
881,31.4412,['bedrooms' 'sqft_living' 'floors' 'sqft_basement' 'yr_built']
1741,31.4419,['bedrooms' 'sqft_living' 'sqft_lot' 'waterfront' 'view' 'yr_built']
879,31.4444,['bedrooms' 'sqft_living' 'floors' 'sqft_above' 'yr_built']
1758,31.4474,['bedrooms' 'sqft_living' 'sqft_lot' 'view' 'sqft_above' 'yr_built']
1760,31.4502,['bedrooms' 'sqft_living' 'sqft_lot' 'view' 'sqft_basement' 'yr_built']
1527,31.4582,['bedrooms' 'bathrooms' 'sqft_living' 'sqft_lot' 'condition' 'yr_built']
1755,31.4682,['bedrooms' 'sqft_living' 'sqft_lot' 'view' 'condition' 'yr_built']
1534,31.4772,['bedrooms' 'bathrooms' 'sqft_living' 'sqft_lot' 'yr_built' 'yr_renovated']
1712,31.4815,"['bedrooms' 'bathrooms' 'condition' 'sqft_above' 'sqft_basement'
 'yr_built']"
721,31.483,['bedrooms' 'bathrooms' 'sqft_living' 'sqft_lot' 'yr_built']
883,31.4878,['bedrooms' 'sqft_living' 'floors' 'yr_built' 'yr_renovated']
278,31.4935,['bedrooms' 'sqft_living' 'floors' 'yr_built']
1582,31.4972,['bedrooms' 'bathrooms' 'sqft_living' 'condition' 'sqft_above' 'yr_built']
1584,31.4994,"['bedrooms' 'bathrooms' 'sqft_living' 'condition' 'sqft_basement'
 'yr_built']"
1762,31.502,['bedrooms' 'sqft_living' 'sqft_lot' 'view' 'yr_built' 'yr_renovated']
1954,31.5052,['bedrooms' 'waterfront' 'view' 'sqft_above' 'sqft_basement' 'yr_built']
1716,31.5196,"['bedrooms' 'bathrooms' 'sqft_above' 'sqft_basement' 'yr_built'
 'yr_renovated']"
851,31.5215,['bedrooms' 'sqft_living' 'sqft_lot' 'view' 'yr_built']
1813,31.5224,['bedrooms' 'sqft_living' 'waterfront' 'view' 'sqft_above' 'yr_built']
1587,31.5227,"['bedrooms' 'bathrooms' 'sqft_living' 'sqft_above' 'sqft_basement'
 'yr_built']"
831,31.5235,['bedrooms' 'bathrooms' 'sqft_above' 'sqft_basement' 'yr_built']
1815,31.5245,['bedrooms' 'sqft_living' 'waterfront' 'view' 'sqft_basement' 'yr_built']
1963,31.5329,['bedrooms' 'view' 'condition' 'sqft_above' 'sqft_basement' 'yr_built']
1589,31.5358,"['bedrooms' 'bathrooms' 'sqft_living' 'sqft_above' 'yr_built'
 'yr_renovated']"
1810,31.5372,['bedrooms' 'sqft_living' 'waterfront' 'view' 'condition' 'yr_built']
1590,31.5378,"['bedrooms' 'bathrooms' 'sqft_living' 'sqft_basement' 'yr_built'
 'yr_renovated']"
746,31.5397,['bedrooms' 'bathrooms' 'sqft_living' 'sqft_above' 'yr_built']
748,31.5417,['bedrooms' 'bathrooms' 'sqft_living' 'sqft_basement' 'yr_built']
1817,31.5455,['bedrooms' 'sqft_living' 'waterfront' 'view' 'yr_built' 'yr_renovated']
1829,31.5494,['bedrooms' 'sqft_living' 'view' 'condition' 'sqft_above' 'yr_built']
1831,31.5519,['bedrooms' 'sqft_living' 'view' 'condition' 'sqft_basement' 'yr_built']
743,31.5522,['bedrooms' 'bathrooms' 'sqft_living' 'condition' 'yr_built']
1967,31.5551,['bedrooms' 'view' 'sqft_above' 'sqft_basement' 'yr_built' 'yr_renovated']
887,31.5642,['bedrooms' 'sqft_living' 'waterfront' 'view' 'yr_built']
1586,31.5689,"['bedrooms' 'bathrooms' 'sqft_living' 'condition' 'yr_built'
 'yr_renovated']"
750,31.5702,['bedrooms' 'bathrooms' 'sqft_living' 'yr_built' 'yr_renovated']
1836,31.572,['bedrooms' 'sqft_living' 'view' 'sqft_above' 'yr_built' 'yr_renovated']
1837,31.5739,['bedrooms' 'sqft_living' 'view' 'sqft_basement' 'yr_built' 'yr_renovated']
227,31.5745,['bedrooms' 'bathrooms' 'sqft_living' 'yr_built']
1834,31.5779,['bedrooms' 'sqft_living' 'view' 'sqft_above' 'sqft_basement' 'yr_built']
1036,31.5804,['bedrooms' 'view' 'sqft_above' 'sqft_basement' 'yr_built']
904,31.5974,['bedrooms' 'sqft_living' 'view' 'sqft_above' 'yr_built']
906,31.5995,['bedrooms' 'sqft_living' 'view' 'sqft_basement' 'yr_built']
1833,31.6084,['bedrooms' 'sqft_living' 'view' 'condition' 'yr_built' 'yr_renovated']
901,31.6093,['bedrooms' 'sqft_living' 'view' 'condition' 'yr_built']
1973,31.6124,['bathrooms' 'sqft_living' 'sqft_lot' 'floors' 'waterfront' 'yr_built']
2032,31.6133,['bathrooms' 'sqft_living' 'floors' 'waterfront' 'condition' 'yr_built']
2156,31.6188,['bathrooms' 'sqft_lot' 'view' 'sqft_above' 'sqft_basement' 'yr_built']
908,31.6222,['bedrooms' 'sqft_living' 'view' 'yr_built' 'yr_renovated']
2206,31.6294,['bathrooms' 'waterfront' 'view' 'sqft_above' 'sqft_basement' 'yr_built']
2010,31.63,['bathrooms' 'sqft_living' 'sqft_lot' 'view' 'sqft_above' 'yr_built']
2012,31.6344,['bathrooms' 'sqft_living' 'sqft_lot' 'view' 'sqft_basement' 'yr_built']
2065,31.6405,['bathrooms' 'sqft_living' 'waterfront' 'view' 'sqft_above' 'yr_built']
289,31.6411,['bedrooms' 'sqft_living' 'view' 'yr_built']
2181,31.6439,['bathrooms' 'floors' 'waterfront' 'sqft_above' 'sqft_basement' 'yr_built']
2067,31.6446,['bathrooms' 'sqft_living' 'waterfront' 'view' 'sqft_basement' 'yr_built']
1077,31.6469,['bathrooms' 'sqft_living' 'floors' 'waterfront' 'yr_built']
2039,31.6471,['bathrooms' 'sqft_living' 'floors' 'waterfront' 'yr_built' 'yr_renovated']
2037,31.657,"['bathrooms' 'sqft_living' 'floors' 'waterfront' 'sqft_basement'
 'yr_built']"
2035,31.6582,['bathrooms' 'sqft_living' 'floors' 'waterfront' 'sqft_above' 'yr_built']
2228,31.6843,['sqft_living' 'sqft_lot' 'floors' 'waterfront' 'condition' 'yr_built']
2086,31.6881,['bathrooms' 'sqft_living' 'view' 'sqft_above' 'sqft_basement' 'yr_built']
2219,31.6894,['bathrooms' 'view' 'sqft_above' 'sqft_basement' 'yr_built' 'yr_renovated']
2215,31.6929,['bathrooms' 'view' 'condition' 'sqft_above' 'sqft_basement' 'yr_built']
1246,31.6945,['bathrooms' 'view' 'sqft_above' 'sqft_basement' 'yr_built']
2088,31.7005,['bathrooms' 'sqft_living' 'view' 'sqft_above' 'yr_built' 'yr_renovated']
2081,31.7038,['bathrooms' 'sqft_living' 'view' 'condition' 'sqft_above' 'yr_built']
2089,31.7048,"['bathrooms' 'sqft_living' 'view' 'sqft_basement' 'yr_built'
 'yr_renovated']"
1114,31.7056,['bathrooms' 'sqft_living' 'view' 'sqft_above' 'yr_built']
2363,31.7059,['sqft_lot' 'floors' 'waterfront' 'sqft_above' 'sqft_basement' 'yr_built']
